relative_path,git_status,extension,staged_size_bytes,category,security_status,large_file_status,submission_zip_status,note
frontend/android/app/src/main/res/drawable-land-hdpi/splash.png,A,.png,11918,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-land-mdpi/splash.png,A,.png,6951,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-land-xhdpi/splash.png,A,.png,19786,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-land-xxhdpi/splash.png,A,.png,29516,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-land-xxxhdpi/splash.png,A,.png,42292,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-port-hdpi/splash.png,A,.png,12157,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-port-mdpi/splash.png,A,.png,7032,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-port-xhdpi/splash.png,A,.png,20359,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-port-xxhdpi/splash.png,A,.png,28882,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-port-xxxhdpi/splash.png,A,.png,40640,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable-v24/ic_launcher_foreground.xml,A,.xml,1880,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable/ic_launcher_background.xml,A,.xml,5606,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/drawable/splash.png,A,.png,6951,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/layout/activity_main.xml,A,.xml,535,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,A,.xml,265,frontend,allowlisted_public,ok,include,staged blob snapshot
